;Source Domain;Target Domain;Title;Metaphor;Example 
833;;;Ideas Are Objects;Ideas Are Objects;Sally carries that idea around with her all the time.
834;;;Ideas Are Objects;Ideas Are Objects;Sally searched for an idea all day.
835;;;Ideas Are Objects;The Mind Is A Container For Objects;I can't get this idea out of my mind.
836;;;Ideas Are Objects;The Mind Is A Container For Objects;What did you have in mind?
837;;;Ideas Are Objects;Thinking Is Possessing An Object;I have an idea.
838;;;Ideas Are Objects;Thinking Is Manipulating An Object;I'm playing with the idea of a trip to Hawaii.
839;;;Ideas Are Objects;Thinking Is Manipulating An Object;I've been turning it over in my mind.
840;;;Ideas Are Objects;Understanding Is Grasping;I got it.
841;;;Ideas Are Objects;Understanding Is Grasping;I grasped the idea.
842;;;Ideas Are Objects;Understanding Is Grasping;I have a firm grasp of the subject.
843;;;Ideas Are Objects;Understanding Is Grasping;It's a slippery concept.
844;;;Ideas Are Objects;Understanding Is Grasping;I grasped the idea.
845;;;Ideas Are Objects;Understanding Is Grasping;I'm all thumbs at algebra.
846;;;Ideas Are Objects;Understanding Is Grasping;The idea slipped through my fingers.
847;;;Ideas Are Objects;Understanding Is Grasping;That theory is out of my reach.
848;;;Ideas Are Objects;Understanding Is Grasping;That idea is above me.
849;;;Ideas Are Objects;Understanding Is Grasping;Algebra is beyond my grasp.
850;;;Ideas Are Objects;Understanding Is Grasping;Algebra is over my head.
851;;;Ideas Are Objects;Learning Is Taking In;I took in everything I was told
852;;;Ideas Are Objects;Learning Is Taking In;I soaked in everything the teacher said.
853;;;Ideas Are Objects;Learning Is Taking In;He has a mind like a sponge.
854;;;Ideas Are Objects;Learning Is Taking In;He has a thirst for knowledge.
855;;;Ideas Are Objects;Learning Is Taking In;"He's a good lecturer; I just drink in the information."
856;;;Ideas Are Objects;Learning Is Taking In;His criticism really stuck in my craw.
857;;;Ideas Are Objects;Learning Is Taking In;She's starving for recognition.
858;;;Ideas Are Objects;Learning Is Taking In;Tell her more, she's really eating it up.
859;;;Ideas Are Objects;Learning Is Taking In;She drank in their praise.
860;;;Ideas Are Objects;Understanding Is Collocation;The idea suddenly came to me.
861;;;Ideas Are Objects;Understanding Is Collocation;It escaped my grasp.
862;;;Ideas Are Objects;Understanding Is Collocation;It went over my head.
863;;;Ideas Are Objects;Understanding Is Collocation;It flew by me,
864;;;Ideas Are Objects;Understanding Is Collocation;It went by me.
865;;;Ideas Are Objects;Understanding Is Collocation;He threw us curve balls.
866;;;Ideas Are Objects;Understanding Is Collocation;The ideas are coming too fast.
867;;;Ideas Are Objects;Understanding Is Collocation;The teacher threw too many things at us at once.
868;;;Ideas Are Objects;Compatibility Of Ideas Is Compatibility Of Shape;What you're saying fits in with my thinking
869;;;Ideas Are Objects;Compatibility Of Ideas Is Compatibility Of Shape;That idea formed the basis for my belief
870;;;Ideas Are Objects;Compatibility Of Ideas Is Compatibility Of Shape;Your theory has shaped/reshaped my views
871;;;Ideas Are Perceptions;Thinking Is Examining;Let's take a closer look at that proposal.
872;;;Ideas Are Perceptions;Thinking Is Examining;He puts my ideas under a microscope.
873;;;Ideas Are Perceptions;Thinking Is Examining;He held it up to scrutiny.
874;;;Ideas Are Perceptions;Thinking Is Examining;She examined it closely.
875;;;Ideas Are Perceptions;Thinking Is Examining;He wanted to see all sides of the issue.
876;;;Ideas Are Perceptions;Understanding Is Seeing;Can you shed more light on this issue? I don't quite see what you are talking about.
877;;;Ideas Are Perceptions;Understanding Is Seeing;He spotlighted the issues that were important.
878;;;Ideas Are Perceptions;Understanding Is Seeing;She finally opened her eyes to what was going on around her.
879;;;Ideas Are Perceptions;Understanding Is Seeing;He still has the illusions of his youth.
880;;;Ideas Are Perceptions;Understanding Is Seeing;He sees only what he wants to see.
881;;;Ideas Are Perceptions;Understanding Is Seeing;He's not seeing things clearly.
882;;;Ideas Are Perceptions;Understanding Is Seeing;The situation was going on under his nose, but he didn't realize it.
883;;;Ideas Are Perceptions;Understanding Is Seeing;I was in the dark for a long time.
884;;;Ideas Are Perceptions;Understanding Is Seeing;My early training had put blinders on me.
885;;;Ideas Are Perceptions;Understanding Is Seeing;I'm just in a fog today, I don't know what is going on.
886;;;Ideas Are Perceptions;Understanding Is Seeing;She walks around blindfolded.
887;;;Ideas Are Perceptions;Understanding Is Seeing;His eyes are closed to everything around him.
888;;;Ideas Are Perceptions;Understanding Is Seeing;He saw through her lies.
889;;;Ideas Are Perceptions;Understanding Is Seeing;He could see what was behind my actions.
890;;;Ideas Are Perceptions;Understanding Is Seeing;He has eyes in the back on his head.
891;;;Ideas Are Perceptions;Communication Is Showing;See, you just have to look at it this way.
892;;;Ideas Are Perceptions;Communication Is Showing;Look out for tricky spots.
893;;;Ideas Are Perceptions;Communication Is Showing;Just look at what I'm trying to show you.
894;;;Ideas Are Perceptions;Communication Is Showing;The Watergate cover-up.
895;;;Ideas Are Perceptions;Communication Is Showing;He put up a good front.
896;;;Ideas Are Perceptions;Communication Is Showing;He put on an act to hide his true motives.
897;;;Ideas Are Perceptions;Communication Is Showing;Every spy needs a good cover.
898;;;Ideas Are Perceptions;Communication Is Showing;They purposefully left me in the dark regarding that point.
899;;;Ideas Are Perceptions;Communication Is Showing;He's deliberately clouding the issue.
900;;;Ideas Are Perceptions;Communication Is Showing;They threw up a smoke screen of lies.
901;;;Ideas Are Perceptions;Communication Is Showing;They obscured the issue.
902;;;Ideas Are Perceptions;Communication Is Showing;She blinded me with claims of innocence.
903;;;Ideas Are Resources;Ideas Are Resources;I'm out of ideas.
904;;;Intelligence Is A Light Source;Intelligence Is A Light Source;He is very bright.
905;;;Intelligence Is A Light Source;Intelligence Is A Light Source;He can always shed light on the problem.
906;;;Intelligence Is A Light Source;Intelligence Is A Light Source;I always thought he was a little dim.
907;heat;emotion;Intense Emotions Are Heat;Intense Emotions Are Heat;The crowd was all fired up
908;heat;emotion;Intense Emotions Are Heat;Intense Emotions Are Heat;He had a burning emotion
909;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;I'm just along for the ride.
910;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;I like to be in the driver's seat.
911;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;Michael Jackson arrived on the music scene with his wholefamily in tow.
912;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;I followed in my brother's wake.
913;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;Keep a tight rein on what's going on.
914;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;Whoa!
915;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;Hitch your wagon to a star.
916;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;Harness your own desires and let them take you where you want to go.
917;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;He rode to success on her coattails.
918;;;Interaction Between Progress And External Events Affecting;Interaction Between Progress And External Events Affecting;You can't resist the winds of change.
919;;;Interaction Between Progress And External Events Affecting;Being Involved In Events Is Being In Water;He's afraid to take the plunge.
920;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;I'm just trying to keep my head above water.
921;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;He's barely staying afloat.
922;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;Sink or swim.
923;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;Try not to get in over your head.
924;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;He was a life raft for me.
925;;;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;He was clutching at straws.
926;;;Interaction Between Progress And External Events Affecting;Ability To Cope Is Ability To Navigate;He's getting his bearings.
927;;;Interaction Between Progress And External Events Affecting;Ability To Cope Is Ability To Navigate;He's up a creek without a paddle.
928;;;Interaction Between Progress And External Events Affecting;Flow Of Events Is Flow Of Water;Go with the flow.
929;;;Interaction Between Progress And External Events Affecting;Flow Of Events Is Flow Of Water;He let himself be carried by the current.
930;;;Interaction Between Progress And External Events Affecting;Flow Of Events Is Flow Of Water;He got carried away.
931;;;Interaction Between Progress And External Events Affecting;Flow Of Events Is Flow Of Water;He couldn't fight the current.
932;;;Interaction Between Progress And External Events Affecting;Flow Of Events Is Flow Of Water;He just drifted through life.
933;;;Interaction Between Progress And External Events Affecting;Easy Events To Deal With Are Smooth Water;It's smooth sailing from here on in.
934;;;Interaction Between Progress And External Events Affecting;Easy Events To Deal With Are Smooth Water;History never flows smoothly.
935;;;Interaction Between Progress And External Events Affecting;Hidden Events With Causal Power Are Undercurrents;Powerful and dangerous undercurrents of society.
936;;;Interaction Between Progress And External Events Affecting;A Powerful Enduring Directed Force Is A Tide;The tide of history.
937;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;We're all in the same boat.
938;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;tide of history
939;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;the undercurrents in society pulled them along
940;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;a new wave of conservativism
941;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;History never flows smoothly.
942;;;Interaction Between Progress And External Events Affecting;People With A Common Fate Are People In A Single Boat;Some stormy times are ahead for this country.
943;;;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;They had a harmonious relationship.
944;;;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;Those two are really in synch.
945;;;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;They are out of tune with each other.
946;;;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;We can make beatiful music together.
947;electrification;intoxication;Intoxication Is Becoming Electrified;Intoxication Is Becoming Electrified;He was wired.
948;electrification;intoxication;Intoxication Is Becoming Electrified;Intoxication Is Becoming Electrified;He was lit.
949;electrification;intoxication;Intoxication Is Becoming Electrified;Intoxication Is Becoming Electrified;"""It's the electric waitress"" (said about a waitress on LSD)"
950;burden;intoxication;Intoxication Is Getting A Burden;Intoxication Is Getting A Burden;She was loaded.
951;burden;intoxication;Intoxication Is Getting A Burden;Intoxication Is Getting A Burden;She was tanked up.
952;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He is stoned
953;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He is bombed
954;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He got thrashed
955;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He was wrecked
956;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He was destroyed
957;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He was blitzed
958;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He was smashed
959;;;Investments Are Containers For Money;Investments Are Containers For Money;Put your money in bonds
960;;;Investments Are Containers For Money;Investments Are Containers For Money;The bottom of the economy dropped out
961;;;Investments Are Containers For Money;Investments Are Containers For Money;I'm down to my bottom dollar
962;;;Investments Are Containers For Money;Investments Are Containers For Money;This is an sirtight investment.
963;;;Investments Are Containers For Money;Joining Another On An Investment Is Mixing Liquids;We pooled our funds for the venture
964;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is An Instrument Of Constraint;I am bound to repeat my mistakes
965;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is An Instrument Of Constraint;The chains of my past...
966;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Place Of Confinement;I can't escape from that memory
967;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Place Of Confinement;He's trapped in his past
968;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Captor;He is imprisoned by his past
969;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Captor;The past rules her life
970;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Pursuer;You can't hide from your past
971;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Pursuer;My past caught up with me
972;constraint confinement;past events time;Knowledge Of Past Events Is An External Event Exerting Force On;The Past Is A Pursuer;It's no use fleeing from your pastThe mapping is basically:Being Constrained	is	Being unable to forgetEscaping confinement	is	ForgettingHiding, running away	is	Trying to forgetSurrendering		is	Giving up trying to forget
973;substance;laughter;Laughter Is A Substance;Potential Laughter Is A Substance Inside The Person;You can't get a single joke out of him.
974;substance;laughter;Laughter Is A Substance;Potential Laughter Is A Substance Inside The Person;He's full of laughs.
975;substance;laughter;Laughter Is A Substance;Potential Laughter Is A Substance Inside The Person;She let out a big laugh.
976;substance;laughter;Laughter Is A Substance;Potential Laughter That Is Not Expressed Builds Pressure Inside The Person;I cannot hold my laughter for much longer.
977;substance;laughter;Laughter Is A Substance;Potential Laughter That Is Not Expressed Builds Pressure Inside The Person;It's hard not to laugh but try to keep it in.
978;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;The audience was bursting with laughter.
979;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;He was ripping with laughter.
980;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;He exploded with laughter.
981;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;He busted a gut laughing.
982;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;He had a hemorrhage over that one.
983;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;I split my sides laughing.
984;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;She had me in stiches.be motivated by the fact that hard laughter makes that area shake,and may even cause pain.
985;substance;laughter;Laughter Is A Substance;Laughter Is A Substance That Comes From The Laugher;Laughter filled the room.
986;substance;laughter;Laughter Is A Substance;Laughter Is A Substance That Comes From The Laugher;The giggling was quite widespread in the classroom.
987;substance;laughter;Laughter Is A Substance;Laughter Is A Substance That Comes From The Laugher;Laughter is contagious.
988;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;Sunlight poured into the room.
989;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;The stage was flooded with light. (Floodlights)
990;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;He soaked up some sun.
991;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;Pools of light were scattered across the clearing.
992;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;The clearing was splashed with light.
993;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;He went sunbathing.
994;fluid, liquid, water;light, lightness, sunlight;Light Is A Fluid;Light Is A Fluid;Light was seeping in around the door of the darkroom.
995;line;light;Light Is A Line;Light Is A Line;Sunbeams
996;line;light;Light Is A Line;Light Is A Line;rays of light
997;line;light;Light Is A Line;Light Is A Line;The lamp throws a lot of light.
998;line;light;Light Is A Line;Light Is A Line;The light source.
999;line;light;Light Is A Line;Light Is A Line;Direct more light over here.
1000;line;light;Light Is A Line;Light Is A Line;Where is that light coming from?
1001;paths;scales, linear scales;Linear Scales Are Paths;Linear Scales Are Paths;The temperature edged toward 90 degrees.
1002;paths;scales, linear scales;Linear Scales Are Paths;Linear Scales Are Paths;Bob was ahead of Sam on the scale of intelligence.
1003;paths;scales, linear scales;Linear Scales Are Paths;Linear Scales Are Paths;Unemployment moved closer and closer to 10%.
1004;paths;scales, linear scales;Linear Scales Are Paths;Linear Scales Are Paths;The interest rate fell behind the expected amount.
1005;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Relations Are Causal Relations;Because all men are mortal, Socrates is mortal.
1006;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Relations Are Causal Relations;Socrates' mortality is a result of the mortality of all men.
1007;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Relations Are Causal Relations;The mortality of all men makes Socrates mortal.
1008;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Relations Are Causal Relations;His reasoning forced me to a conclusion I didn't like.
1009;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Relations Are Causal Relations;Your premises aren't going to allow you to reach the correct solution.
1010;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;Your argument is leading away from the conclusion you want to reach.
1011;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;Follow your reasoning where it takes you.
1012;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;I've been thinking about this along a different path.
1013;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;This argument yields the following conclusions.
1014;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;Does your reasoning give you the answer you wanted?
1015;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Premises Are The Source Of The Conclusion;Once you get your assumptions right, the solution falls out.
1016;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Premises Are The Source Of The Conclusion;What kind of answer is going to come out of these premises?
1017;causal, causation, causality;logical, logic;Logical Relations Are Causal Relations;Premises Are The Source Of The Conclusion;His conclusion sprang from faulty premises.
1018;;;Longterm Purposeful Activity Is A Journey;The Person Leading A Life Is A Traveler;As we travel down life's path. . .
1019;;;Longterm Purposeful Activity Is A Journey;The Person Leading A Life Is A Traveler;I don't know where I'm headed, but I'm enjoying getting there.
1020;;;Longterm Purposeful Activity Is A Journey;The Person Leading A Life Is A Traveler;He just sails through life.
1021;;;Longterm Purposeful Activity Is A Journey;Life States Are Locations;He saw teaching as just a stopover on his way to bigger things.
1022;;;Longterm Purposeful Activity Is A Journey;Longterm Purposes Are Journey Destinations;He's headed for great things.
1023;;;Longterm Purposeful Activity Is A Journey;Longterm Purposes Are Journey Destinations;My goal lies at the end of my life's journey.
1024;;;Longterm Purposeful Activity Is A Journey;The Means For Achieving Purposes Are Routes;If this doesn't work, I'll just try a different route.
1025;;;Longterm Purposeful Activity Is A Journey;The Means For Achieving Purposes Are Routes;It's an arduous path, but he'll make it.
1026;;;Longterm Purposeful Activity Is A Journey;The Means For Achieving Purposes Are Routes;She'll cross that bridge when she comes to it.
1027;;;Longterm Purposeful Activity Is A Journey;Difficulties Are Impediments To Travel;He's lost his way.
1028;;;Longterm Purposeful Activity Is A Journey;Difficulties Are Impediments To Travel;He has a rocky road ahead of him.
1029;;;Longterm Purposeful Activity Is A Journey;Counselors Are Guides;His mother gave him guidance.
1030;;;Longterm Purposeful Activity Is A Journey;Counselors Are Guides;The wise woman showed him the way.
1031;;;Longterm Purposeful Activity Is A Journey;Counselors Are Guides;My high school employed a full
1032;;;Longterm Purposeful Activity Is A Journey;Progress Is The Distance Travelled;We've come a long way.
1033;;;Longterm Purposeful Activity Is A Journey;Things You Gauge Your Progress By Are Landmarks;Getting her PhD was a big landmark in her life.
1034;;;Longterm Purposeful Activity Is A Journey;Major Choices Are Crossroads;She's at a crossroads in her life.
1035;;;Longterm Purposeful Activity Is A Journey;Material Resources And Talents Are Provisions;She has a lot of what it takes to get her where she wants to go.
1036;;;Longterm Purposeful Activity Is A Journey;Stages Of Life Are Routes You Have To Travel On;He's just reaching the end of his starving artist stage.
1037;;;Longterm Purposeful Activity Is A Journey;Stages Of Life Are Routes You Have To Travel On;We've hit a crossroads in this relationship.
1038;;;Longterm Purposeful Activity Is A Journey;Stages Of Life Are Routes You Have To Travel On;He's hit a crossroads in his career.
1039;;;Longterm Purposeful Activity Is A Journey;Stages Of Life Are Routes You Have To Travel On;He's half
1040;;;Longterm Purposeful Activity Is A Journey;Stages Of Life Are Routes You Have To Travel On;Be nice to the people you meet on the way up,they're the same people you'll see on the way down.
1041;;;Love Is A Journey;Progress In The Relationship Is Forward Motion;They are at a crossroads in their relationship.
1042;;;Love Is A Journey;Progress In The Relationship Is Forward Motion;This relationship isn't going anywhere.
1043;;;Love Is A Journey;Progress In The Relationship Is Forward Motion;They're in a dead
1044;;;Love Is A Journey;The Relationship Is A Moving Object.;Relationships, like sharks, have to keep moving to stay alive.
1045;;;Love Is A Journey;The Relationship Is A Moving Object.;This marriage is on the rocks.
1046;;;Love Is A Journey;The Relationship Is A Moving Object.;This relationship has been spinning its wheels for years.
1047;;;Love Is A Journey;The Relationship Is A Moving Object.;Their marriage has really gone off the track.
1048;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;We were made for each other
1049;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;We are one
1050;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;She is my other/better half
1051;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;He is a perfect match
1052;magic;love;Love Is Magic;Love Is Magic;The magic is gone.
1053;magic;love;Love Is Magic;Love Is Magic;She is bewitching.
1054;magic;love;Love Is Magic;Love Is Magic;Enchanted.
1055;magic;love;Love Is Magic;Love Is Magic;I was entranced.
1056;magic;love;Love Is Magic;Love Is Magic;She charmed him.
1057;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;My friend stole my loved one from me.
1058;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;You're all I've got.
1059;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;I'm going to get him back.
1060;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;If you love something, set it free.
1061;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;Don't let him go.
1062;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;Why not take all of me?
1063;possession;loved one;Loved One Is A Possession;Loved One Is A Possession;I'm yours
1064;heat;lust;Lust Is Heat;INTENSE EMOTIONS ARE HEAT;I'm hot to trot.
1065;heat;lust;Lust Is Heat;INTENSE EMOTIONS ARE HEAT;I'm burning with desire.
1066;heat;lust;Lust Is Heat;Lack Of Lust Is Coldness;She was frigid.
1067;;;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;You turn me on.
1068;;;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;I've got my motor runnin', baby.
1069;;;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;Turn my crank,  baby.
1070;;;Lustful Person Is An Animal;Lustful Person Is An Animal;He's an animal.
1071;;;Lustful Person Is An Animal;Lustful Person Is An Animal;He's a real wolf.
1072;;;Lustful Person Is An Animal;Lustful Person Is An Animal;A tigress in bed.
1073;;;Lustful Person Is An Animal;Lustful Person Is An Animal;He looks like he's ready to pounce.
1074;;;Lustful Person Is An Animal;Lustful Person Is An Animal;She's a bitch in heat.
1075;person;machine;Machines Are People;Calculation Is Thinking;"""ROM looks for purged menus."""
1076;person;machine;Machines Are People;Calculation Is Thinking;"""Memory manager can throw them away if it needs the space"""
1077;person;machine;Machines Are People;Calculation Is Thinking;"""Resource manager tries to load. . ."""
1078;person;machine;Machines Are People;Calculation Is Thinking;"""...where the application would like the new object to go..."""
1079;person;machine;Machines Are People;Calculation Is Thinking;"""the memory manager does not relocate objects just for the hell of it"""
1080;person;machine;Machines Are People;Calculation Is Thinking;"""the compiler knows..."""
1081;person;machine;Machines Are People;Calculation Is Thinking;"""the memory manager understands"""
1082;person;machine;Machines Are People;Calculation Is Thinking;"""the memory manager is actually pretty smart."""
1083;person;machine;Machines Are People;Calculation Is Thinking;My PC's personality is defined by its ROM
1084;person;machine;Machines Are People;Calculation Is Thinking;The Mac is user-friendly
1085;motion, path;change, means;Means Of Change Is Path Over Which Motion Occurs;Means Of Change Is Path Over Which Motion Occurs;He went from fat to thin through an intensive exercise program.
1086;motion, path;change, means;Means Of Change Is Path Over Which Motion Occurs;Means Of Change Is Path Over Which Motion Occurs;He eased into bathing daily through the help of his friends. 
1087;accounting;thinking;Mental Accounting;Results Are Net Balances;In sum,
1088;accounting;thinking;Mental Accounting;Results Are Net Balances;To sum it all up. . .
1089;accounting;thinking;Mental Accounting;Results Are Net Balances;So what's the bottom line?
1090;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;figure it out
1091;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;that figures
1092;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;I figure
1093;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;How does that figure in?
1094;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;I reckon
1095;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;It doesn't add up.
1096;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;a calculating person
1097;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;a calculated risk
1098;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;I can put two and two together.
1099;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;This adds up to trouble
1100;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;She gave an account of her day
1101;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;How do you account for this fact?
1102;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;I didn't count on his showing up too.
1103;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;I didn't take account of that possibility.
1104;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;I didn't take that possibility into account.
1105;;;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;He cracked up.
1106;;;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;His mind snapped.
1107;;;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;He's mentally fragile.
1108;;;Money Is A Liquid;Cash Is A Liquid;liquid assets
1109;;;Money Is A Liquid;Cash Is A Liquid;currency (see OED)
1110;;;Money Is A Liquid;Cash Is A Liquid;liquidating assets
1111;;;Money Is A Liquid;Cash Is A Liquid;My money is all dried up
1112;;;Money Is A Liquid;Cash Is A Liquid;He's just sponging off of you (absorbing cash)
1113;;;Money Is A Liquid;Cash Is A Liquid;He's solvent/insolvent
1114;;;Money Is A Liquid;Gain/loss Of Money Is Movement Of A Liquid;cash flow
1115;;;Money Is A Liquid;Gain/loss Of Money Is Movement Of A Liquid;influx and outflux of money
1116;;;Money Is A Liquid;Gain/loss Of Money Is Movement Of A Liquid;Don't pour your money down the drain
1117;;;Money Is A Liquid;Money Which Cannot Be Accessed Is Frozen;frozen assets
1118;;;Money Is A Liquid;Money Which Cannot Be Accessed Is Frozen;price freeze
1119;;;Money Is A Liquid;Control In A Financial Situation Is Control In Liquid;keep your head above water, financially
1120;;;Money Is A Liquid;Control In A Financial Situation Is Control In Liquid;get in over your head
1121;;;Money Is A Liquid;Control In A Financial Situation Is Control In Liquid;stay afloat
1122;;;Money Is A Liquid;Control In A Financial Situation Is Control In Liquid;the business went under/sunk
1123;;;Money Is A Liquid;Control In A Financial Situation Is Control In Liquid;drowning in debts
1124;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Moral Deeds Is Accumulating Creditputting Money Into Society.;He worked hard on that account: they owe him a vacation.
